En quelle année a eu lieu la révolution française ?,en 1789,en 1937,en 1492,A
Quelles sont les dates de début et de fin de la première guerre mondiale ?,1881 et 1903,1895 et 1920,1914 et 1918,C
Quelles sont les dates de début et de fin de la seconde guerre mondiale ?,1917 et 1920,1939 et 1945,1980 et 2002,B
Quel est le nom du président actuel de la cinquième République ?,Emmanuel Macron,François Hollande,Nicolas Sarkozy,A
Qui est le premier roi de la renaissance ?,Henri IV,François 1e,Napoléon 1e,B
Qui a signé l'édit de Nantes ?,Henri IV,Louis XVI,Napoléon 1e,A
Quel roi a été guillotiné en 1793 ?,Louis XVI,Louis XIV,Napoléon 1e,A
Où est né Napoléon 1e ?,À Paris,En Corse,À Marseille,B
Quel roi est mort à Versailles ?,Louis XVI,Henri IV,Louis XIV,C
Quel roi avait tous les pouvoirs ?,Louis XIV,François 1e,Henri IV,A
Quel était le nom entier de Napoléon 1e ?,Napoléon Bonali,Napoléon Bonapali,Napoléon Bonaparte,C
En quelle année Napoléon s'est-il fait couronner empereur ?,En 1802,En 1803,En 1804,A
En quelle année Napoléon 1e est-il mort ?,En 1810,En 1813,En 1821,C
Dans la phrase : Clara aime la robe de sa maman. Le groupe nominal 'sa maman' est :,un C.O.I,un C.O.D,un C.C.L,A
Dans la phrase : Clara et Sophie sont meilleures amies. Le sujet est :,Clara,Clara et Sophie,Sophie,B
Comment se conjugue le verbe 'courir' à l'imparfait à la première personne ?,je courais,je courrais,je couru,A
Dans le dictionnaire que veut dire 'n. m.' ?,Neige magnique,Nom masculin,Nomination masculine,B
Quel verbe se finit par un x à la première personne du singulier ?,Voir,Vouloi,Choir,B
Qui dessine les dessins d'un livre ?,Auteur,Illustrateur,Narrateur,B
Le contraire s'appelle aussi :,Patronyme,Synonyme,Antonyme,C
Que veut-dire P-S ?,Page-significative,Patronyme-supplémentaire,Post-scriptum,C
Comment dit-on 'bonjour' en anglais ?,Hello,Fish,Year,A
Quelle est la réponse attendue si l'on te dit 'how old are you' ?,I am fine,I am 10 years old, I am good,B
'Happy new year' veux dire :,Bon anniversaire, Il est heureux, Bonne année,C
Comment dit on 'bonjour' l'après-midi en anglais?,Good morning,Good afternoon,Good evening,B
Que signifie 'Look !' ?,Style !,Regarde !,Ah bon !,B
Comment dit-on 'Angleterre' en anglais ?,Terreland,England,English,B
Comment dit-on 'cheval' en anglais ?,Bear,Bunny,Horse,C
Comment dit-on 'arbre' en anglais ?,Tree,Bed,Phone,A
En anglais quel est le contraire de 'cold' ?,Fresh,Little,Hot,C
