Combien font ,10,5,15,+
Combien font ,5,3,2,-
Combien font ,4,2,8,*
Combien font ,10,6,16,+
Combien font ,6,4,2,-
Combien font ,5,3,15,*
Combien font ,12,7,19,+
Combien font ,7,5,2,-
Combien font ,6,4,24,*
Combien font ,13,8,21,+
Combien font ,8,6,2,-
Combien font ,7,5,35,*
Combien font ,14,9,23,+
Combien font ,9,7,2,-
Combien font ,2,6,12,*
Combien font ,15,10,25,+
Combien font ,10,8,2,-
Combien font ,9,1,9,*
Combien font ,16,10,26,+
Combien font ,10,9,1,-
Combien font ,2,8,16,*
Combien font ,17,10,27,+
Combien font ,11,6,17,+
Combien font ,6,4,2,-
Combien font ,5,3,15,*
Combien font ,12,7,19,+
Combien font ,7,5,2,-
Combien font ,6,4,24,*
Combien font ,13,8,21,+
Combien font ,8,6,2,-
Combien font ,7,3,21,*
Combien font ,14,10,24,+
Combien font ,9,7,2,-
Combien font ,8,3,24,*
Combien font ,15,10,25,+
Convertis en millimètres ,1, ,10,cm
Convertis en centimètres ,1, ,100,m
Convertis en millimètres ,10, ,100,cm
Convertis en centimètres ,10, ,1000,m
Convertis en millimètres ,20, ,200,cm
Convertis en centimètres ,20, ,2000,m
Convertis en millimètres ,30, ,300,cm
Convertis en centimètres ,30, ,3000,m
Convertis en millimètres ,40, ,400,cm
Convertis en centimètres ,40, ,4000,m
Convertis en millimètres ,50, ,500,cm
Convertis en centimètres ,50, ,5000,m
Convertis en millimètres ,60, ,600,cm
Convertis en centimètres ,60, ,6000,m
Convertis en millimètres ,70, ,700,cm
Convertis en centimètres ,70, ,7000,m
Convertis en millimètres ,80, ,800,cm
Convertis en centimètres ,80, ,8000,m
Convertis en millimètres ,90, ,900,cm
Convertis en centimètres ,90, ,9000,m
